| 单位：万千瓦
| 省（区、市） | 2023年新增并网容量 | 截至2023年底累计并网容量 |
| | 其中：集中式光伏电站 | 其中：分布式光伏 | | 其中：集中式光伏电站 | 其中：分布式光伏 |
| | 其中：户用光伏 | | 其中：户用光伏 |
| 总计 | 21630.0 | 12001.4 | 9628.6 | 4348.3 | 60891.8 | 35448.1 | 25443.8 | 11579.7 |
| 北京 | 13.1 | 0.0 | 13.1 | 1.5 | 108.4 | 5.1 | 103.3 | 32.8 |
| 天津 | 268.9 | 177.4 | 91.5 | 17.8 | 489.5 | 299.2 | 190.4 | 34.8 |
| 河北 | 1561.1 | 1029.7 | 531.4 | 235.0 | 5416.4 | 3023.8 | 2392.6 | 1730.4 |
| 山西 | 795.0 | 567.3 | 227.7 | 178.9 | 2490.5 | 1824.1 | 666.4 | 468.0 |
| 山东 | 1422.6 | 409.6 | 1013.0 | 497.5 | 5692.5 | 1593.7 | 4098.8 | 2560.7 |
| 内蒙古 | 621.0 | 562.3 | 58.7 | 31.4 | 2296.4 | 2116.5 | 179.9 | 53.9 |
| 辽宁 | 357.2 | 140.3 | 216.9 | 133.4 | 957.7 | 521.5 | 436.2 | 218.0 |
| 吉林 | 73.2 | 45.5 | 27.6 | 19.4 | 459.8 | 340.1 | 119.6 | 42.5 |
| 黑龙江 | 89.6 | 29.2 | 60.4 | 24.7 | 564.9 | 396.1 | 168.8 | 36.8 |
| 上海 | 94.6 | 15.8 | 78.8 | 2.0 | 289.4 | 39.8 | 249.6 | 21.3 |
| 江苏 | 1419.6 | 202.5 | 1217.1 | 547.3 | 3928.0 | 1155.8 | 2772.2 | 859.3 |
| 浙江 | 817.7 | 53.6 | 764.1 | 33.1 | 3356.6 | 667.1 | 2689.6 | 236.8 |
| 安徽 | 1069.1 | 222.2 | 846.9 | 461.9 | 3223.1 | 1285.9 | 1937.1 | 969.6 |
| 福建 | 409.6 | 5.0 | 404.6 | 166.6 | 874.5 | 44.2 | 830.4 | 341.4 |
| 江西 | 790.7 | 285.3 | 505.3 | 353.7 | 1993.1 | 981.1 | 1012.1 | 559.3 |
| 河南 | 1398.6 | 8.9 | 1389.7 | 999.4 | 3731.4 | 637.4 | 3094.0 | 2231.3 |
| 湖北 | 1171.2 | 773.2 | 398.0 | 185.9 | 2487.3 | 1749.2 | 738.1 | 291.1 |
| 湖南 | 615.8 | 113.1 | 502.7 | 188.5 | 1251.8 | 399.2 | 852.5 | 301.7 |
| 重庆 | 91.2 | 33.7 | 57.5 | 1.3 | 160.9 | 90.0 | 70.9 | 4.7 |
| 四川 | 367.7 | 350.2 | 17.5 | 2.9 | 573.6 | 522.8 | 50.7 | 13.6 |
| 陕西 | 776.0 | 632.2 | 143.8 | 143.8 | 2292.1 | 1825.7 | 466.4 | 251.6 |
| 甘肃 | 1122.1 | 1103.7 | 18.5 | 8.2 | 2518.8 | 2414.8 | 104.0 | 19.8 |
| 青海 | 719.1 | 715.5 | 3.6 | 0.0 | 2540.2 | 2521.0 | 19.2 | 2.8 |
| 宁夏 | 552.7 | 519.8 | 32.9 | 2.4 | 2136.6 | 2011.5 | 125.0 | 6.3 |
| 新疆 | 1428.7 | 1428.2 | 0.5 | 0.5 | 2895.6 | 2877.6 | 18.0 | 3.7 |
| 新疆兵团 | 0.0 | 0.0 | 0.0 | | 106.4 | 106.4 | 0.0 | |
| 西藏 | 117.0 | 114.1 | 2.9 | | 256.6 | 254.4 | 2.2 | |
| 广东 | 932.4 | 300.5 | 631.9 | 84.0 | 2522.3 | 1053.5 | 1468.7 | 223.0 |
| 广西 | 570.2 | 379.3 | 190.9 | 4.9 | 1089.7 | 811.9 | 277.8 | 18.5 |
| 海南 | 226.6 | 126.3 | 100.3 | 12.1 | 472.4 | 327.9 | 144.5 | 21.8 |
| 贵州 | 223.2 | 216.0 | 7.1 | 0.2 | 1643.7 | 1612.9 | 30.8 | 2.5 |
| 云南 | 1514.4 | 1440.7 | 73.7 | 10.0 | 2071.7 | 1937.9 | 133.9 | 21.6 | |
